iter	MultiClass
0	1.885542073
1	1.621419991
2	1.437236243
3	1.303912283
4	1.189498432
5	1.093234105
6	1.01904147
7	0.9522734945
8	0.8964389014
9	0.8481595947
10	0.8046945419
11	0.7686367195
12	0.7341119511
13	0.7057695434
14	0.6780630897
15	0.6535320903
16	0.6318285337
17	0.6122191244
18	0.5934295081
19	0.5776791223
20	0.5626036797
21	0.5494564818
22	0.5357218079
23	0.5242133448
24	0.5134811813
25	0.502351763
26	0.4922566359
27	0.4842304436
28	0.4764230871
29	0.4688851818
30	0.4631887119
31	0.4562622673
32	0.4507072568
33	0.4430112618
34	0.4382961602
35	0.4315361265
36	0.4268359973
37	0.4223619513
38	0.4175456375
39	0.4124498556
40	0.4073160718
41	0.4036881386
42	0.3996552498
43	0.3968160687
44	0.3933288937
