iter	Passed	Remaining
0	14852	1470388
1	28004	1372240
2	40577	1312005
3	53150	1275604
4	65464	1243827
5	78561	1230798
6	91489	1215503
7	104106	1197222
8	115762	1170487
9	127478	1147303
10	138975	1124441
11	149320	1095020
12	160119	1071570
13	171523	1053641
14	184664	1046432
15	196448	1031356
16	209408	1022405
17	221489	1009009
18	234012	997633
19	246184	984738
20	258308	971733
21	270603	959411
22	282799	946762
23	294898	933845
24	306425	919276
25	317632	904031
26	329337	890431
27	341783	878872
28	354615	868196
29	367900	858434
30	380263	846393
31	391714	832393
32	404134	820515
33	416306	808124
34	427261	793486
35	438379	779340
36	448737	764067
37	459580	749842
38	470163	735384
39	483405	725108
40	494896	712167
41	506362	699262
42	518061	686732
43	532389	677586
44	542870	663508
